Penny Number,R,G,B,YEAR
1,114,86,72,1997
2,100,77,63,2008
3,98,82,66,2008
4,94,71,58,1995
5,135,104,90,1971
6,117,88,69,2012
7,97,77,57,1999
8,104,78,59,1988
9,121,88,62,2000
10,98,79,61,1982
11,95,77,56,1981
12,130,97,82,1999
13,75,65,59,2012
14,90,70,55,1996
15,102,81,61,1975
16,102,78,63,1998
17,107,79,63,1980
18,97,75,54,1964
19,91,74,61,1970
20,122,91,71,1984
21,93,74,58,1994
22,83,67,55,1960
23,131,98,81,1993
24,97,72,59,2012
25,102,82,58,1969
26,114,88,71,1996
27,99,76,62,1990
28,85,68,57,1980
29,127,93,72,2006
30,116,86,67,1983
31,86,68,57,1968
32,117,86,68,2006
33,116,89,72,1995
34,98,76,63,1987
35,124,94,78,2011
36,99,80,62,2010
37,105,79,63,1998
38,128,97,80,2012
39,114,83,62,2003
40,99,75,57,2012
41,92,74,51,1981
42,103,82,63,1995
43,111,83,68,2005
44,116,90,74,2000
45,98,78,58,1999
46,102,77,61,1953
47,96,78,60,1974
48,126,92,75,2009
49,127,96,75,2006
50,99,76,62,1994
51,91,70,60,1988
,,,,
,,,,
,131,104,90,
,75,65,51,
